City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,kourou,5.1552,-52.6478,33.03,63,30,4.67,GF,1691513127
208,carnarvon,-24.8667,113.6333,18.66,84,13,7.57,AU,1691513128
209,atafu village,-8.5421,-172.5159,27.74,76,56,5.54,TK,1691513128
210,demopolis,32.5176,-87.8364,26.97,78,75,7.2,US,1691513128
211,antofagasta,-23.65,-70.4,18.6,66,8,3.8,CL,1691513128
212,kisangani,0.5167,25.2,23.51,88,92,1.07,CD,1691513128
213,pahrump,36.2083,-115.9839,30.53,17,0,3.58,US,1691513049
214,myski,53.709,87.8014,14.44,70,23,1.24,RU,1691513128
215,whitefish,48.4111,-114.3376,22.16,61,38,1.55,US,1691513128
216,bel ombre,-4.6167,55.4167,25.91,83,20,3.09,SC,1691513128
217,pangody,65.85,74.4859,13.19,90,65,7.83,RU,1691513128
218,barinas,8.6226,-70.2075,31.84,58,4,3.23,VE,1691513128
219,bengkulu,-3.8004,102.2655,24.16,92,62,2.96,ID,1691513129
220,san martin,-33.081,-68.4681,15.3,19,15,2.58,AR,1691513129
221,flying fish cove,-10.4217,105.6791,24.82,83,100,5.66,CX,1691513129
222,kosciusko,33.0576,-89.5876,21.79,98,100,2.67,US,1691513129
223,wynyard,-41.0,145.7167,6.16,93,18,2.12,AU,1691513129
224,flin flon,54.7682,-101.865,13.91,82,75,7.2,CA,1691513129
225,undurkhaan,47.3194,110.6556,14.09,81,7,1.33,MN,1691513129
226,ust-nera,64.5667,143.2,11.23,61,78,1.21,RU,1691513129
227,grand island,40.925,-98.342,25.67,67,0,2.57,US,1691513076
228,nema,57.5067,50.5011,17.24,83,23,2.79,RU,1691513129
229,vadso,70.0744,29.7487,26.49,68,0,4.12,NO,1691513129
230,arraial do cabo,-22.9661,-42.0278,23.92,78,75,6.17,BR,1691513129
231,rehoboth,-23.3167,17.0833,18.57,23,6,0.95,NA,1691513130
232,simaria,24.8,81.15,26.95,73,100,5.0,IN,1691513130
233,nizhnevartovsk,60.9344,76.5531,17.01,67,0,2.0,RU,1691513130
234,kone,-21.0595,164.8658,15.25,87,8,1.91,NC,1691513130
235,nizhneudinsk,54.9076,99.0276,15.2,96,22,1.18,RU,1691513130
236,mount isa,-20.7333,139.5,9.87,76,5,0.51,AU,1691513130
237,ulanhot,46.0833,122.0833,16.96,91,100,2.64,CN,1691513130
238,perryton,36.4,-100.8027,26.78,53,0,8.75,US,1691513130
239,ponnani,10.767,75.9252,25.62,86,100,3.51,IN,1691513130
240,general mosconi,-23.1851,-62.303,26.25,37,13,1.69,AR,1691513131
241,champerico,14.3,-91.9167,32.3,63,89,2.82,GT,1691513131
242,gambiran satu,-8.3939,114.1464,20.69,95,37,0.64,ID,1691513131
243,revda,56.801,59.9303,15.12,93,83,1.49,RU,1691513131
244,bol'sherech'ye,56.0925,74.6272,17.8,66,55,2.34,RU,1691513131
245,ksar chellala,35.2122,2.3189,38.28,10,0,1.37,DZ,1691513131
246,assab,13.0092,42.7394,33.26,62,92,9.13,ER,1691513131
247,rouyn-noranda,48.2398,-79.0288,23.05,49,40,6.69,CA,1691513100
248,lata,40.1629,-8.3327,33.29,46,0,3.39,PT,1691513111
249,lompoc,34.6391,-120.4579,22.74,78,40,1.79,US,1691513131
250,broome,42.2506,-75.833,19.69,90,78,0.89,US,1691513131
251,siliana,36.085,9.3708,32.83,18,0,5.1,TN,1691513132
252,tazovsky,67.4667,78.7,15.17,70,82,2.52,RU,1691513132
253,tocopilla,-22.092,-70.1979,21.28,64,10,4.93,CL,1691513132
254,lodeynoye pole,60.726,33.5531,20.55,94,91,1.79,RU,1691513132
255,toliara,-23.35,43.6667,21.14,77,26,2.15,MG,1691513132
256,porto novo,6.4965,2.6036,26.37,76,52,5.26,BJ,1691513132
257,kuraymah,18.55,31.85,39.34,23,70,0.71,SD,1691513132
258,westport,41.1415,-73.3579,28.21,73,75,6.26,US,1691513132
259,bedele,8.456,36.353,13.8,99,97,0.44,ET,1691513132
260,gebeit,21.0667,36.3167,33.34,22,15,5.97,SD,1691513132
261,bikenibeu village,1.3673,173.1241,25.98,94,100,2.57,KI,1691513133
262,la ronge,55.1001,-105.2842,14.14,72,75,3.6,CA,1691513133
263,suva,-18.1416,178.4415,22.71,88,75,2.57,FJ,1691513133
264,nabire,-3.3667,135.4833,24.27,89,98,2.01,ID,1691513133
265,crane,31.3974,-102.3501,34.37,29,94,4.72,US,1691513133
266,kirensk,57.7853,108.1119,18.51,71,85,0.68,RU,1691513133
267,malabar,-33.9667,151.25,12.1,85,100,3.09,AU,1691513133
268,wabag,-5.4781,143.7021,11.63,99,88,0.68,PG,1691513133
269,valparaiso,-33.0393,-71.6273,15.56,86,100,2.06,CL,1691512930
270,same,-4.0667,37.7333,21.54,65,56,2.27,TZ,1691513134
271,alibag,18.6411,72.8792,29.04,84,76,4.77,IN,1691513134
272,cam ranh,11.9214,109.1591,29.98,74,20,5.66,VN,1691513134
273,lienz,46.8289,12.769,21.22,75,93,1.38,AT,1691513134
274,pont rouge,48.8833,-72.0825,15.16,96,100,6.14,CA,1691513134
275,lihue,21.9789,-159.3672,27.77,74,100,10.8,US,1691513134
276,khuzdar,27.7384,66.6434,32.27,15,1,3.17,PK,1691513134
277,argo,37.6333,22.7333,29.32,47,8,2.93,GR,1691513134
278,oranjemund,-28.55,16.4333,13.47,88,0,10.09,NA,1691513134
279,benghazi,32.1167,20.0667,27.53,62,0,7.86,LY,1691513134
280,palikir - national government center,6.9248,158.1611,23.41,100,100,0.0,FM,1691513134
281,umm kaddadah,13.6017,26.6876,31.61,40,44,2.28,SD,1691513134
282,ulety,51.3572,112.4849,16.28,72,91,1.52,RU,1691513134
283,jaciara,-15.9653,-54.9683,38.62,16,0,0.92,BR,1691513135
284,fada,9.5667,8.3,21.94,94,97,1.64,NG,1691513135
285,richards bay,-28.783,32.0377,18.93,73,0,3.84,ZA,1691513135
286,agua dulce,18.1333,-94.1333,27.88,69,3,2.34,MX,1691513135
287,candido mendes,-1.4467,-45.7167,28.24,79,55,3.35,BR,1691513135
288,forster,-32.1667,152.5167,10.61,89,10,2.56,AU,1691513135
289,leninskoye,41.7589,69.3864,25.72,33,14,2.41,KZ,1691513135
290,san julian,21.0167,-102.1667,22.97,51,0,0.61,MX,1691513135
291,mangrol,21.1167,70.1167,27.08,84,100,8.41,IN,1691513135
292,kruisfontein,-34.0033,24.7314,14.38,91,75,5.05,ZA,1691513135
293,santa terezinha,-29.9002,-50.0904,17.04,64,87,6.75,BR,1691513135
294,la passe,45.5549,-0.8967,28.13,44,46,4.6,FR,1691513136
295,vilyuchinsk,52.9306,158.4028,10.15,64,100,4.0,RU,1691513136
296,khmilnyk,49.5598,27.9575,18.16,56,100,4.56,UA,1691513136
297,yol,32.1667,76.2,25.29,74,24,2.58,IN,1691513136
298,ringkobing,56.0901,8.244,13.34,68,70,15.48,DK,1691513136
299,chernyshevskiy,63.0128,112.4714,16.06,75,72,2.45,RU,1691513136
